"year","area_mn","ed","lpi","np","pd"
2002,83.4793480585654,5.51224314302414,33.9509534115687,47929,0.85531883099109
2012,29.7069036591293,11.2479134858473,31.6247903406954,94389,1.6844225654284
2022,23.7795404495579,15.0748747722838,30.7377881967624,115248,2.05666266006095
